epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6080667972564697,0.6814338564872742,9.999999747378752e-06,0.7317673563957214,0.9663461446762085,0.6064655184745789,0.12142857164144516,0.5,9.497314453125,0.0,0.0
1,0.6247708201408386,0.6866214871406555,9.999999747378752e-06,0.765748918056488,0.9682061672210693,0.6234914064407349,0.12142857164144516,0.5,67.10767364501953,0.0,0.0
2,0.6149928569793701,0.6560336947441101,9.999999747378752e-06,0.7898659110069275,0.9657859206199646,0.6144396662712097,0.12142857164144516,0.5,73.97725677490234,0.0,0.0
3,0.6170299649238586,0.6944766640663147,9.999999747378752e-06,0.7370988130569458,0.9700272679328918,0.6137930750846863,0.12142857164144516,0.5,35.97136688232422,0.0,0.0
4,0.6331228613853455,0.732562780380249,4.999999873689376e-06,0.6988006830215454,0.9755443930625916,0.6275861859321594,0.8589285612106323,0.7770953178405762,0.37294530868530273,0.9056974649429321,0.9369918704032898
5,0.6312894821166992,0.7561434507369995,4.999999873689376e-06,0.6506110429763794,0.9764309525489807,0.625,0.8999999761581421,0.6855870485305786,0.6818987727165222,0.8992673754692078,0.9979674816131592
6,0.6471786499023438,0.7643703818321228,4.999999873689376e-06,0.6588618159294128,0.9789196252822876,0.6405172348022461,0.12142857164144516,0.8311065435409546,4.161073207855225,0.0,0.0
7,0.6351599097251892,0.7703127264976501,4.999999873689376e-06,0.6406240463256836,0.9772194027900696,0.6286637783050537,0.8839285969734192,0.529411792755127,2.268948554992676,0.8833034038543701,1.0
8,0.6500305533409119,0.7994115352630615,2.499999936844688e-06,0.617180585861206,0.9840954542160034,0.6400862336158752,0.13571429252624512,0.8429878950119019,2.4834771156311035,1.0,0.016260161995887756
9,0.6376044154167175,0.7790700197219849,2.499999936844688e-06,0.6379836201667786,0.9808403253555298,0.6288793087005615,0.25,0.843660295009613,1.3407403230667114,0.9736841917037964,0.15040650963783264
