epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5381951332092285,0.6282992362976074,9.999999747378752e-05,0.832280158996582,0.9629340767860413,0.5318965315818787,0.8892857432365417,0.4498894512653351,0.5931242108345032,0.8880866169929504,1.0
1,0.5724180340766907,0.6706848740577698,9.999999747378752e-05,0.779438853263855,0.9665809869766235,0.567241370677948,0.8589285612106323,0.5156325101852417,0.5634039044380188,0.8963531851768494,0.9491869807243347
2,0.5885108709335327,0.7091710567474365,9.999999747378752e-05,0.7371553778648376,0.9729241728782654,0.5808189511299133,0.8964285850524902,0.6263749599456787,0.35488924384117126,0.8959854245185852,0.9979674816131592
3,0.6068445444107056,0.7472231388092041,9.999999747378752e-05,0.6848329305648804,0.9781227707862854,0.5974137783050537,0.8910714387893677,0.6726148128509521,0.3696225881576538,0.9104762077331543,0.9715447425842285
4,0.6092890501022339,0.7284286618232727,9.999999747378752e-05,0.6878383159637451,0.975874125957489,0.601508617401123,0.7285714149475098,0.7877809405326843,0.6304885745048523,0.9521276354789734,0.727642297744751
5,0.633937656879425,0.7484021186828613,9.999999747378752e-05,0.653894305229187,0.9765337109565735,0.6278017163276672,0.8928571343421936,0.8227074146270752,0.3134855031967163,0.9060150384902954,0.9796748161315918
6,0.6380118131637573,0.7406694889068604,9.999999747378752e-05,0.6736688613891602,0.9757394194602966,0.632758617401123,0.8017857074737549,0.8236041069030762,0.531495213508606,0.9590361714363098,0.8089430928230286
7,0.6569566130638123,0.7526347041130066,9.999999747378752e-05,0.6563807725906372,0.9770820140838623,0.6523706912994385,0.8946428298950195,0.5882352590560913,1.182034969329834,0.8929219841957092,1.0
8,0.6634752750396729,0.7459208965301514,9.999999747378752e-05,0.6546822190284729,0.9751908183097839,0.6607758402824402,0.699999988079071,0.8566325902938843,0.7249870896339417,0.9764705896377563,0.6747967600822449
9,0.6714198589324951,0.7803226113319397,4.999999873689376e-05,0.6087486147880554,0.9794108271598816,0.6663793325424194,0.125,0.8305834531784058,2.736128091812134,1.0,0.004065040498971939
10,0.6781421899795532,0.7769384980201721,4.999999873689376e-05,0.6190191507339478,0.9781249761581421,0.6745689511299133,0.9017857313156128,0.7976147532463074,0.4651527404785156,0.8994515538215637,1.0
